# _root_ In a strongly worded response summarizing a filing made in the same court yesterday , GE asserted that `` prosecutors have misstated the testimony of witnesses , distorted documents and ignored important facts . ''
#goldHeads=17,5,4,5,1,5,8,6,8,9,13,13,10,9,17,17,0,21,21,21,17,30,24,22,24,25,30,30,28,21,30,33,31,17,17,
#predictedHeads=17,5,4,5,1,5,8,6,8,9,13,13,10,17,17,17,0,21,21,21,17,21,24,22,24,25,22,30,28,22,30,33,31,17,17,
(30,29),(30,13),(30,5),-0.170776 # DEPENDENCYPART_TRISIBL
(30,29),(30,13),(30,4),-0.222875 # DEPENDENCYPART_TRISIBL
(30,29),(30,13),(30,3),-0.0596751 # DEPENDENCYPART_TRISIBL
(30,29),(30,13),(30,1),-0.171746 # DEPENDENCYPART_TRISIBL
(30,29),(30,13),(30,-1),-0.0678868 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,29),(30,12),(30,11),0.132165 # DEPENDENCYPART_TRISIBL
(30,29),(30,12),(30,10),-0.111857 # DEPENDENCYPART_TRISIBL
(30,29),(30,12),(30,9),-0.217921 # DEPENDENCYPART_TRISIBL
(30,29),(30,12),(30,8),-0.12263 # DEPENDENCYPART_TRISIBL
(30,29),(30,12),(30,6),-0.217302 # DEPENDENCYPART_TRISIBL
(30,29),(30,12),(30,5),-0.122185 # DEPENDENCYPART_TRISIBL
(30,29),(30,12),(30,4),-0.217302 # DEPENDENCYPART_TRISIBL
(30,29),(30,12),(30,3),-0.123408 # DEPENDENCYPART_TRISIBL
(30,29),(30,12),(30,1),-0.111857 # DEPENDENCYPART_TRISIBL
(30,29),(30,12),(30,-1),-0.0100895 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,29),(30,11),(30,10),-0.126657 # DEPENDENCYPART_TRISIBL
(30,29),(30,11),(30,9),-0.228221 # DEPENDENCYPART_TRISIBL
(30,29),(30,11),(30,8),-0.16868 # DEPENDENCYPART_TRISIBL
(30,29),(30,11),(30,6),-0.227635 # DEPENDENCYPART_TRISIBL
(30,29),(30,11),(30,5),-0.168235 # DEPENDENCYPART_TRISIBL
(30,29),(30,11),(30,4),-0.227635 # DEPENDENCYPART_TRISIBL
(30,29),(30,11),(30,3),-0.0647618 # DEPENDENCYPART_TRISIBL
(30,29),(30,11),(30,1),-0.126657 # DEPENDENCYPART_TRISIBL
(30,29),(30,11),(30,-1),0.0445593 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,29),(30,10),(30,9),-0.246727 # DEPENDENCYPART_TRISIBL
(30,29),(30,10),(30,8),-0.165906 # DEPENDENCYPART_TRISIBL
(30,29),(30,10),(30,6),-0.246154 # DEPENDENCYPART_TRISIBL
(30,29),(30,10),(30,5),-0.165461 # DEPENDENCYPART_TRISIBL
(30,29),(30,10),(30,4),-0.246154 # DEPENDENCYPART_TRISIBL
(30,29),(30,10),(30,3),-0.0917133 # DEPENDENCYPART_TRISIBL
(30,29),(30,10),(30,1),-0.0765624 # DEPENDENCYPART_TRISIBL
(30,29),(30,10),(30,-1),-0.0560799 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,29),(30,9),(30,8),-0.166473 # DEPENDENCYPART_TRISIBL
(30,29),(30,9),(30,6),-0.270864 # DEPENDENCYPART_TRISIBL
(30,29),(30,9),(30,5),-0.166028 # DEPENDENCYPART_TRISIBL
(30,29),(30,9),(30,4),-0.270864 # DEPENDENCYPART_TRISIBL
(30,29),(30,9),(30,3),-0.065016 # DEPENDENCYPART_TRISIBL
(30,29),(30,9),(30,1),-0.089961 # DEPENDENCYPART_TRISIBL
(30,29),(30,9),(30,-1),-0.127554 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,29),(30,8),(30,6),-0.222121 # DEPENDENCYPART_TRISIBL
(30,29),(30,8),(30,5),-0.172255 # DEPENDENCYPART_TRISIBL
(30,29),(30,8),(30,4),-0.222121 # DEPENDENCYPART_TRISIBL
(30,29),(30,8),(30,3),-0.0596751 # DEPENDENCYPART_TRISIBL
(30,29),(30,8),(30,1),-0.177202 # DEPENDENCYPART_TRISIBL
(30,29),(30,8),(30,-1),-0.0680625 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,29),(30,6),(30,5),-0.166 # DEPENDENCYPART_TRISIBL
(30,29),(30,6),(30,4),-0.270861 # DEPENDENCYPART_TRISIBL
(30,29),(30,6),(30,3),-0.0650113 # DEPENDENCYPART_TRISIBL
(30,29),(30,6),(30,1),-0.0898574 # DEPENDENCYPART_TRISIBL
(30,29),(30,6),(30,-1),-0.126468 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,29),(30,5),(30,4),-0.222173 # DEPENDENCYPART_TRISIBL
(30,29),(30,5),(30,3),-0.0601599 # DEPENDENCYPART_TRISIBL
(30,29),(30,5),(30,1),-0.17702 # DEPENDENCYPART_TRISIBL
(30,29),(30,5),(30,-1),-0.0681201 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,29),(30,4),(30,3),-0.0650113 # DEPENDENCYPART_TRISIBL
(30,29),(30,4),(30,1),-0.0898574 # DEPENDENCYPART_TRISIBL
(30,29),(30,4),(30,-1),-0.126468 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,29),(30,3),(30,1),-0.105568 # DEPENDENCYPART_TRISIBL
(30,29),(30,3),(30,-1),-0.068395 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,29),(30,1),(30,-1),-0.0560799 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,27),(30,26),-0.0607979 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,25),0.0678667 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,24),-0.0608862 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,23),-0.0768952 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,22),-0.0493263 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,21),-0.0747555 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,20),-0.0608072 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,19),-0.0806114 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,18),0.119764 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,17),-0.0493263 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,16),-0.060846 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,15),-0.0360239 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,14),-0.053791 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,13),-0.0610509 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,12),-0.0540258 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,11),-0.0768952 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,10),0.0638939 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,9),-0.0539704 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,8),-0.0628549 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,6),-0.0493263 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,5),-0.060851 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,4),-0.0493263 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,3),-0.00462674 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,1),0.0638939 # DEPENDENCYPART_TRISIBL
(30,28),(30,27),(30,-1),-0.170621 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,26),(30,25),0.0871788 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,24),-0.0588987 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,23),-0.128799 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,22),-0.231273 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,21),-0.249653 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,20),-0.0588555 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,19),-0.0719789 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,18),0.140009 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,17),-0.231273 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,16),-0.0588923 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,15),0.0680835 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,14),-0.0562236 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,13),-0.0623219 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,12),-0.0960361 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,11),-0.128799 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,10),0.0716915 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,9),-0.235322 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,8),-0.0605786 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,6),-0.231273 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,5),-0.058925 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,4),-0.231273 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,3),-0.101155 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,1),0.0716915 # DEPENDENCYPART_TRISIBL
(30,28),(30,26),(30,-1),-0.0608913 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,25),(30,24),0.00370416 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,23),-0.0923429 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,22),-0.210318 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,21),-0.228588 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,20),0.00374737 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,19),-0.05975 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,18),-0.0161784 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,17),-0.210318 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,16),0.00371058 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,15),-0.0373867 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,14),0.00638076 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,13),0.00223565 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,12),-0.0600893 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,11),-0.0923429 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,10),-0.0587114 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,9),-0.214581 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,8),0.00200331 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,6),-0.210318 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,5),0.00370324 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,4),-0.210318 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,3),-0.0327732 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,1),-0.0587114 # DEPENDENCYPART_TRISIBL
(30,28),(30,25),(30,-1),-0.0391397 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,24),(30,23),-0.128799 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,22),-0.231273 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,21),-0.249653 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,20),-0.0588555 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,19),-0.0719789 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,18),0.140088 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,17),-0.231273 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,16),-0.0588923 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,15),0.0682402 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,14),-0.0562236 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,13),-0.0623219 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,12),-0.0960361 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,11),-0.128799 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,10),0.0717704 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,9),-0.235322 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,8),-0.0605786 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,6),-0.231273 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,5),-0.058925 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,4),-0.231273 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,3),-0.101155 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,1),0.0717704 # DEPENDENCYPART_TRISIBL
(30,28),(30,24),(30,-1),-0.0608913 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,23),(30,22),-0.193179 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,21),-0.211449 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,20),-0.0543677 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,19),-0.0693582 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,18),0.0705253 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,17),-0.193179 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,16),-0.0544045 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,15),-0.0203398 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,14),-0.0517337 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,13),-0.0558839 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,12),-0.0771892 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,11),-0.0877103 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,10),0.0146718 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,9),-0.196904 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,8),-0.0560908 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,6),-0.193179 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,5),-0.0544119 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,4),-0.193179 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,3),-0.0694734 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,1),0.0146718 # DEPENDENCYPART_TRISIBL
(30,28),(30,23),(30,-1),-0.0193392 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,22),(30,21),-0.253662 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,20),-0.0891387 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,19),-0.0677486 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,18),-0.024866 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,17),-0.235133 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,16),-0.0891872 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,15),-0.0540565 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,14),-0.0865468 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,13),-0.0906546 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,12),-0.0847578 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,11),-0.0923855 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,10),-0.0665434 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,9),-0.238859 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,8),-0.0908619 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,6),-0.235133 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,5),-0.0891861 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,4),-0.235133 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,3),-0.106855 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,1),-0.0665434 # DEPENDENCYPART_TRISIBL
(30,28),(30,22),(30,-1),-0.15135 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,21),(30,20),-0.0921439 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,19),-0.0678336 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,18),-0.0258512 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,17),-0.236525 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,16),-0.0921923 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,15),-0.0545126 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,14),-0.0895519 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,13),-0.0936598 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,12),-0.0848219 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,11),-0.0923991 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,10),-0.0675286 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,9),-0.24025 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,8),-0.093867 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,6),-0.236525 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,5),-0.0921912 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,4),-0.236525 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,3),-0.106877 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,1),-0.0675286 # DEPENDENCYPART_TRISIBL
(30,28),(30,21),(30,-1),-0.156271 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,20),(30,19),-0.0719789 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,18),0.139908 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,17),-0.231273 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,16),-0.0588923 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,15),0.0678143 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,14),-0.0562236 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,13),-0.0623219 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,12),-0.0960361 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,11),-0.128799 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,10),0.0715904 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,9),-0.235322 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,8),-0.0605786 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,6),-0.231273 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,5),-0.058925 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,4),-0.231273 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,3),-0.101155 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,1),0.0715904 # DEPENDENCYPART_TRISIBL
(30,28),(30,20),(30,-1),-0.062701 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,19),(30,18),0.035766 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,17),-0.216179 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,16),-0.0280566 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,15),-0.0366686 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,14),-0.0253857 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,13),-0.0295314 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,12),-0.0731267 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,11),-0.073047 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,10),-0.0311042 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,9),-0.219904 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,8),-0.0297429 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,6),-0.216179 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,5),-0.0280639 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,4),-0.216179 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,3),-0.0612443 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,1),-0.0311042 # DEPENDENCYPART_TRISIBL
(30,28),(30,19),(30,-1),-0.109034 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,18),(30,17),-0.21344 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,16),0.00166724 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,15),-0.0383454 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,14),0.00433742 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,13),0.000192315 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,12),-0.0601324 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,11),-0.0919715 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,10),-0.0605682 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,9),-0.217703 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,8),-4.00326e-05 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,6),-0.21344 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,5),0.00165991 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,4),-0.21344 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,3),-0.0328019 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,1),-0.0605682 # DEPENDENCYPART_TRISIBL
(30,28),(30,18),(30,-1),0.0290885 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,17),(30,16),-0.0891872 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,15),-0.0540565 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,14),-0.0865468 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,13),-0.0906546 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,12),-0.0847578 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,11),-0.0923855 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,10),-0.0665434 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,9),-0.238859 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,8),-0.0908619 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,6),-0.235133 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,5),-0.0891861 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,4),-0.235133 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,3),-0.106855 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,1),-0.0665434 # DEPENDENCYPART_TRISIBL
(30,28),(30,17),(30,-1),-0.15135 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,16),(30,15),0.0682398 # DEPENDENCYPART_TRISIBL
(30,28),(30,16),(30,14),-0.0562236 # DEPENDENCYPART_TRISIBL
(30,28),(30,16),(30,13),-0.0623219 # DEPENDENCYPART_TRISIBL
(30,28),(30,16),(30,12),-0.0960361 # DEPENDENCYPART_TRISIBL
(30,28),(30,16),(30,11),-0.128799 # DEPENDENCYPART_TRISIBL
(30,28),(30,16),(30,10),0.0717671 # DEPENDENCYPART_TRISIBL
(30,28),(30,16),(30,9),-0.235322 # DEPENDENCYPART_TRISIBL
(30,28),(30,16),(30,8),-0.0605786 # DEPENDENCYPART_TRISIBL
(30,28),(30,16),(30,6),-0.231273 # DEPENDENCYPART_TRISIBL
(30,28),(30,16),(30,5),-0.058925 # DEPENDENCYPART_TRISIBL
(30,28),(30,16),(30,4),-0.231273 # DEPENDENCYPART_TRISIBL
(30,28),(30,16),(30,3),-0.101155 # DEPENDENCYPART_TRISIBL
(30,28),(30,16),(30,1),0.0717671 # DEPENDENCYPART_TRISIBL
(30,28),(30,16),(30,-1),-0.0564697 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,15),(30,14),-0.053791 # DEPENDENCYPART_TRISIBL
(30,28),(30,15),(30,13),-0.0610509 # DEPENDENCYPART_TRISIBL
(30,28),(30,15),(30,12),-0.0540258 # DEPENDENCYPART_TRISIBL
(30,28),(30,15),(30,11),-0.0768952 # DEPENDENCYPART_TRISIBL
(30,28),(30,15),(30,10),0.0638939 # DEPENDENCYPART_TRISIBL
(30,28),(30,15),(30,9),-0.0539704 # DEPENDENCYPART_TRISIBL
(30,28),(30,15),(30,8),-0.0628549 # DEPENDENCYPART_TRISIBL
(30,28),(30,15),(30,6),-0.0493263 # DEPENDENCYPART_TRISIBL
(30,28),(30,15),(30,5),-0.060851 # DEPENDENCYPART_TRISIBL
(30,28),(30,15),(30,4),-0.0493263 # DEPENDENCYPART_TRISIBL
(30,28),(30,15),(30,3),-0.00462674 # DEPENDENCYPART_TRISIBL
(30,28),(30,15),(30,1),0.0638939 # DEPENDENCYPART_TRISIBL
(30,28),(30,15),(30,-1),-0.170621 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,14),(30,13),-0.0552208 # DEPENDENCYPART_TRISIBL
(30,28),(30,14),(30,12),-0.0960361 # DEPENDENCYPART_TRISIBL
(30,28),(30,14),(30,11),-0.128799 # DEPENDENCYPART_TRISIBL
(30,28),(30,14),(30,10),0.0701987 # DEPENDENCYPART_TRISIBL
(30,28),(30,14),(30,9),-0.235322 # DEPENDENCYPART_TRISIBL
(30,28),(30,14),(30,8),-0.0534776 # DEPENDENCYPART_TRISIBL
(30,28),(30,14),(30,6),-0.231274 # DEPENDENCYPART_TRISIBL
(30,28),(30,14),(30,5),-0.0518239 # DEPENDENCYPART_TRISIBL
(30,28),(30,14),(30,4),-0.231274 # DEPENDENCYPART_TRISIBL
(30,28),(30,14),(30,3),-0.101592 # DEPENDENCYPART_TRISIBL
(30,28),(30,14),(30,1),0.0701987 # DEPENDENCYPART_TRISIBL
(30,28),(30,14),(30,-1),-0.06384 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,13),(30,12),-0.0961266 # DEPENDENCYPART_TRISIBL
(30,28),(30,13),(30,11),-0.12883 # DEPENDENCYPART_TRISIBL
(30,28),(30,13),(30,10),0.0747459 # DEPENDENCYPART_TRISIBL
(30,28),(30,13),(30,9),-0.235326 # DEPENDENCYPART_TRISIBL
(30,28),(30,13),(30,8),-0.0607288 # DEPENDENCYPART_TRISIBL
(30,28),(30,13),(30,6),-0.231278 # DEPENDENCYPART_TRISIBL
(30,28),(30,13),(30,5),-0.0590751 # DEPENDENCYPART_TRISIBL
(30,28),(30,13),(30,4),-0.231278 # DEPENDENCYPART_TRISIBL
(30,28),(30,13),(30,3),-0.101155 # DEPENDENCYPART_TRISIBL
(30,28),(30,13),(30,1),0.0747459 # DEPENDENCYPART_TRISIBL
(30,28),(30,13),(30,-1),-0.0637908 # DEPENDENCYPART_TRISIBL_LAST_SIBS
(30,28),(30,12),(30,11),-0.0991664 # DEPENDENCYPART_TRISIBL
(30,28),(30,12),(30,10),-0.0536574 # DEPENDENCYPART_TRISIBL
(30,28),(30,12),(30,9),-0.194854 # DEPENDENCYPART_TRISIBL
(30,28),(30,12),(30,8),-0.0497625 # DEPENDENCYPART_TRISIBL
